country,state,city,latitude,longitude,radius,radius_units,geometry
United States,,,,,,,united_states.geojson
United States,New York,Astoria,,,25,mi,united_states-new_york-astoria-radius_25mi.geojson
United States,New York,New York,,,25,mi,united_states-new_york-new_york-radius_25mi.geojson
United States,New York,New York,,,,,united_states-new_york-new_york.geojson
United States,California,Palo Alto,,,10,mi,united_states-california-palo_alto-radius_10mi.geojson
United Kingdom,,,,,,,united_kingdom.geojson
United States,Mississippi,Jackson,,,17,km,united_states-mississippi-jackson-radius_17km.geojson
United States,New York,,,,,,united_states-new_york.geojson
United States,New York,New York,,,40,km,united_states-new_york-new_york-radius_40km.geojson
United States,Mississippi,Jackson,,,20,mi,united_states-mississippi-jackson-radius_20mi.geojson
United States,New York,Buffalo,,,12,mi,united_states-new_york-buffalo-radius_12mi.geojson
United States,California,San Francisco,,,40,km,united_states-california-san_francisco-radius_40km.geojson
United States,Mississippi,Jackson,,,20,km,united_states-mississippi-jackson-radius_20km.geojson
United States,New York,Buffalo,,,10,mi,united_states-new_york-buffalo-radius_10mi.geojson
United States,Arizona,Glendale,,,10,mi,united_states-arizona-glendale-radius_10mi.geojson
United States,New York,New York,,,20,km,united_states-new_york-new_york-radius_20km.geojson
United States,Texas,Austin,,,10,mi,united_states-texas-austin-radius_10mi.geojson
United States,Maryland,Baltimore,,,40,km,united_states-maryland-baltimore-radius_40km.geojson
United States,New York,New York,40.73,-73.99,42,km,united_states-new_york-new_york-lat_40p73-lon_n73p99-radius_42km.geojson
United States,Connecticut,,,,,,united_states-connecticut.geojson
United States,Delaware,,,,,,united_states-delaware.geojson
United States,Maine,,,,,,united_states-maine.geojson
United States,Maryland,,,,,,united_states-maryland.geojson
United States,Massachusetts,,,,,,united_states-massachuesetts.geojson
United States,Missouri,Ferguson,,,40,km,united_states-missouri-ferguson-radius_40km.geojson
United States,Nevada,Virginia City,,,40,km,united_states-nevada-virginia_city-radius_40km.geojson
United States,New Hampshire,,,,,,united_states-new_hampshire.geojson
United States,New Jersey,,,,,,united_states-new_jersey.geojson
United States,Ohio,,,,,,united_states-ohio.geojson
United States,Pennsylvania,,,,,,united_states-pennsylvania.geojson
United States,Rhode Island,,,,,,united_states-rhode_island.geojson
United States,Vermont,,,,,,united_states-vermont.geojson
United States,Louisiana,New Orleans,,,40,km,united_states-louisiana-new_orleans-radius_40km.geojson
United States,Maryland,Baltimore,,,,,united_states-maryland-baltimore.geojson
United States,Missouri,Ferguson,,,,,united_states-missouri-ferguson.geojson
United States,Missouri,St. Louis,,,,,united_states-missouri-st_louis.geojson
United States,Ohio,Cleveland,,,,,united_states-ohio-cleveland.geojson
United States,Maryland,Baltimore,,,20,km,united_states-maryland-baltimore-radius_20km.geojson
United States,Missouri,St. Louis,,,20,km,united_states-missouri-st_louis-radius_20km.geojson
